price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement
313000,3,1.5,1340,7912,1.5,3,1340,0
2384000,5,2.5,3650,9050,2,5,3370,280
342000,3,2,1930,11947,1,4,1930,0
420000,3,2.25,2000,8030,1,4,1000,1000
550000,4,2.5,1940,10500,1,4,1140,800
490000,2,1,880,6380,1,3,880,0
335000,2,2,1350,2560,1,3,1350,0
482000,4,2.5,2710,35868,2,3,2710,0
452500,3,2.5,2430,88426,1,4,1570,860
640000,4,2,1520,6200,1.5,3,1520,0
463000,3,1.75,1710,7320,1,3,1710,0
1400000,4,2.5,2920,4000,1.5,5,1910,1010
588500,3,1.75,2330,14892,1,3,1970,360
365000,3,1,1090,6435,1,4,1090,0
1200000,5,2.75,2910,9480,1.5,3,2910,0
242500,3,1.5,1200,9720,1,4,1200,0
419000,3,1.5,1570,6700,1,4,1570,0
367500,4,3,3110,7231,2,3,3110,0
257950,3,1.75,1370,5858,1,3,1370,0
275000,3,1.5,1180,10277,1,3,1180,0
750000,3,1.75,2240,10578,2,5,1550,690
435000,4,1,1450,8800,1,4,1450,0
626000,3,2.25,1750,1572,2.5,3,1470,280
612500,4,2.5,2730,12261,2,3,2730,0
495000,4,1.75,1600,6380,1,3,1130,470
285000,3,2.5,2090,10834,1,4,1360,730
615000,3,1.75,2360,7291,1,4,1360,1000
698000,4,2.25,2200,11250,1.5,5,1300,900
675000,5,2.5,2820,67518,2,3,2820,0
790000,3,2.5,2600,4750,1,4,1700,900
382500,4,1.75,1560,8700,1,4,1560,0
499950,4,2.5,2860,3345,2,3,2190,670
650000,4,2,1820,5000,1.5,3,1640,180
625000,4,2.5,2820,8408,2,3,2820,0
400000,4,2.5,3630,42884,1.5,3,2300,1330
604000,3,2.5,3240,33151,2,3,3240,0
440000,2,1,800,4850,1,4,800,0
287200,3,3,1850,19966,1,4,1090,760
403000,3,2,1960,13100,1,5,1650,310
750000,3,2.5,2390,6550,1,4,1440,950
335000,3,2.25,1580,16215,1,4,1580,0
260000,4,2,1480,8625,1,4,1480,0
308500,2,1,850,6174,1,4,850,0
439950,3,2.5,1770,2875,2,3,1770,0
235000,2,1,1210,9400,1,2,1210,0
315000,3,1,1160,9180,1,3,1160,0
437500,3,2.25,1970,35100,2,4,1970,0
407500,3,2.5,1930,10460,2,3,1930,0
445700,3,2.5,1270,1180,3,3,1270,0
838000,4,2.5,3310,42998,2,3,3310,0
630000,4,2.75,2710,37277,2,3,2710,0
550000,3,1.75,2910,35200,1.5,3,2910,0
805000,3,2,2710,4500,1.5,4,1880,830
284000,3,1.75,1800,23103,1,3,1800,0
470000,5,2.5,2210,9655,1,3,1460,750
430000,4,1.5,1920,10000,1,4,1070,850
491500,4,1.75,2190,125452,1,3,2190,0
785000,5,3.25,3660,11995,2,3,3660,0
385000,3,3.25,1320,1327,2,3,1040,280
295000,2,2.5,1630,1368,2,3,1280,350
555000,4,2.5,3310,6500,2,3,3310,0
459990,3,2.5,2680,5539,2,3,2680,0
625000,4,3.25,2730,54014,1,3,1560,1170
300000,3,2.5,2540,5050,2,3,2540,0
625000,4,2.75,2920,6605,2,3,2920,0
553000,2,1,900,5000,1,3,900,0
379880,3,2.5,1650,14054,1,4,1130,520
310000,3,1,1010,9945,1,4,1010,0
775000,2,2.5,2680,7392,1,3,2680,0
365000,3,2.5,2200,7350,1,5,1570,630
331950,4,2.5,2530,9933,2,3,2010,520
783500,3,2.5,2850,7130,2,3,1990,860
628000,4,2,2280,6010,1,3,1140,1140
560000,3,2.5,1900,8744,2,3,1900,0
900000,3,1,1330,77972,1,3,1330,0
531000,2,3,1270,1175,2,3,1110,160
831000,4,3,2170,4000,2,4,1610,560
780000,4,2.5,2730,10281,2,3,2730,0
755000,4,2.5,2120,10202,1,4,1620,500
705380,3,2.5,2490,4343,2,3,2490,0
627000,4,2.25,1990,7712,1,3,1210,780
865000,4,3,3690,9892,2,3,3690,0
580000,2,1,2540,7000,1,5,1320,1220
410000,3,2.25,1800,36704,1,4,1360,440
485000,4,3,2340,7048,1,4,1340,1000
400000,2,1.75,2110,9519,1,2,2110,0
549000,2,1,1140,5400,1,5,1140,0
620000,3,1.75,1480,2185,2.5,3,1480,0
405000,2,3,1410,1240,2,3,1140,270
232000,2,1,1200,8063,1,4,1200,0
800866,5,2.5,3180,13806,2,4,3180,0
650000,3,1.5,2160,9000,1,4,1400,760
823000,6,1.75,2920,5000,2.5,4,2780,140
770000,3,2,2350,5700,1.5,4,1810,540
524000,3,1.75,1560,5520,1,4,780,780
541125,5,2.75,2740,8426,1,4,1370,1370
670000,3,2.5,1680,2000,3,3,1680,0
384900,5,2.5,3090,12750,1,3,1750,1340
406100,3,2.25,1410,1332,3,3,1410,0
